,date,symbol,open,close,low,high,volume,change,,BUY,SELL,vol/meanVal,SUM BUY,SUM BUY
6253,04/11/2013,AAPL,74.44285586,75.25,74.115715,75.26000214,61156900,1.292231968,77.03571314,FALSE,FALSE,0.602612907,223.3748462,
6254,05/11/2013,AAPL,74.94000243,75.06428529,74.71428686,75.55571743,66303300,-0.246796957,77.03571314,FALSE,FALSE,0.678994601,223.3748462,
6255,06/11/2013,AAPL,74.87857057,74.41714471,74.02857214,74.98000329,55843900,-0.862115156,77.03571314,FALSE,FALSE,0.614155358,223.3748462,
6256,07/11/2013,AAPL,74.22571557,73.21286014,73.19714357,74.74143214,65655100,-1.618289138,77.03571314,FALSE,FALSE,0.740449229,223.3748462,
6257,08/11/2013,AAPL,73.51142886,74.365715,73.22714229,74.44714357,69829200,1.574661689,77.03571314,FALSE,FALSE,0.815612376,223.3748462,
6258,11/11/2013,AAPL,74.28428643,74.15000157,73.48714443,74.52428443,56863100,-0.290071076,77.03571314,FALSE,FALSE,0.675704564,223.3748462,
6259,12/11/2013,AAPL,73.952858,74.28713986,73.85713957,74.84571071,51069200,0.184947117,75.55571743,FALSE,FALSE,0.671264689,223.3748462,
6260,13/11/2013,AAPL,74,74.37571714,73.85142514,74.60713957,49305200,0.119236358,75.55571743,FALSE,FALSE,0.755162824,223.3748462,
6261,14/11/2013,AAPL,74.68714143,75.45143129,74.55285643,75.61142729,70604800,1.446324407,75.55571743,BUY,FALSE,1.150528987,224.8211706,224.8211706
6262,15/11/2013,AAPL,75.22571557,74.99857329,74.92713929,75.58428186,79480100,-0.600198024,75.61142729,BUY,FALSE,1.291617562,224.2209726,224.2209726
6263,18/11/2013,AAPL,74.99857329,74.08999629,74.02857214,75.31285857,61236000,-1.211459045,75.61142729,FALSE,SELL,0.978037753,224.2209726,
6264,19/11/2013,AAPL,74.14714057,74.22142786,73.99571229,74.76857,52234700,0.177394489,75.61142729,FALSE,FALSE,0.834167079,224.2209726,
6265,20/11/2013,AAPL,74.17571257,73.57142643,73.47571557,74.34571071,48479200,-0.875759802,75.61142729,FALSE,FALSE,0.791986817,224.2209726,
6266,21/11/2013,AAPL,73.94285586,74.44857029,73.38143157,74.45857243,65506700,1.192234408,75.61142729,FALSE,FALSE,1.083191155,224.2209726,
6267,22/11/2013,AAPL,74.21714014,74.25714114,74.07571414,74.594284,55931400,-0.257129384,75.61142729,FALSE,FALSE,0.925085039,224.2209726,
6268,25/11/2013,AAPL,74.431427,74.81999971,74.42857357,75.12428286,57327900,0.757985779,75.61142729,FALSE,FALSE,0.970490785,224.2209726,
6269,26/11/2013,AAPL,74.87428286,76.199997,74.85713957,76.59143071,100345700,1.844423009,75.61142729,BUY,FALSE,1.697393598,226.0653956,226.0653956
6270,27/11/2013,AAPL,76.615715,77.99428557,76.199997,78,90862100,2.354709502,76.59143071,BUY,FALSE,1.418719007,228.4201051,228.4201051
6271,29/11/2013,AAPL,78.49714657,79.43856814,78.25856786,79.76142886,79531900,1.851779985,78,BUY,FALSE,1.166142186,230.2718851,230.2718851
6272,02/12/2013,AAPL,79.71428686,78.74714657,78.68856814,80.61856843,118136200,-0.870385238,79.76142886,BUY,FALSE,1.709800203,229.4014998,229.4014998
6273,03/12/2013,AAPL,79.75714114,80.90285486,79.66857143,80.91143043,112742000,2.737506543,80.61856843,BUY,FALSE,1.545275043,232.1390064,232.1390064
