Date,Open,High,Low,Close,Change,order,RSI,EMA
"Jun 01, 2013",128.81,129.78,127.2,129.3,0.23%,,51.06482995,127.3118845
"Jun 02, 2013",129.3,129.4,115.05,122.29,-5.57%,,43.57542925,126.7210745
"Jun 03, 2013",122.5,122.5,116,122.22,-0.06%,,43.50680981,126.1915363
"Jun 04, 2013",120.74,123.84,119.1,121.42,-0.66%,,42.67962477,125.6301791
"Jun 05, 2013",121.4,123.47,119.9,121.65,0.19%,,43.01507489,125.1619228
"Jun 06, 2013",121.9,123.1,117.25,118,-3.05%,,39.1040517,124.3193436
"Jun 07, 2013",118.97,119,106.42,111.5,-5.67%,,33.29786187,122.8111855
"Jun 08, 2013",111,111.42,107.3,108.3,-2.91%,,30.86790828,121.1039872
"Jun 09, 2013",107.89,108.99,88.5,100,-7.97%,,25.64115487,118.6211652
"Jun 10, 2013",100.44,110.1,95,106.35,6.16%,,34.74489071,117.1774987
"Jun 11, 2013",106.35,109.6,104,108.9,2.37%,,38.0261936,116.2036753
"Jun 12, 2013",109,111.79,106.73,108.15,-0.69%,,37.43004042,115.2561841
"Jun 13, 2013",108.78,110.3,100.53,104,-3.91%,,34.23203469,113.9319272
"Jun 14, 2013",103.95,104.7,98,99.98,-3.94%,,31.43063702,112.290524
"Jun 15, 2013",100,103.7,98,99.99,0.01%,,31.44566621,110.8434035
"Jun 16, 2013",99.8,101.6,98.95,99.51,-0.48%,,31.09337704,109.5100619
"Jun 17, 2013",99.9,102.21,99,101.7,2.18%,,34.68851541,108.5912311
"Jun 18, 2013",101.95,111.11,101.03,107.4,5.45%,,43.02117363,108.4510863
"Jun 19, 2013",107.05,110.22,105.75,108.25,0.79%,,44.16517856,108.4274291
"Jun 20, 2013",108.25,114.3,107.5,110.15,1.74%,,46.73936556,108.6300845
"Jun 21, 2013",111.29,114.99,107.69,109.5,-0.59%,,45.95873161,108.7324275
"Jun 22, 2013",109.5,109.96,107.51,108.3,-1.10%,,44.4816711,108.6815536
"Jun 23, 2013",108.2,108.8,106.23,107.6,-0.65%,,43.60136876,108.554312
"Jun 24, 2013",107.9,108.33,100.98,102.74,-4.62%,,37.98127893,107.8702753
"Jun 25, 2013",102.09,106.47,101.01,103.95,1.17%,,40.05306036,107.4090665
"Jun 26, 2013",103.33,105.49,102.79,104,0.05%,,40.14204444,107.0079998
"Jun 27, 2013",104,104,101.1,101.44,-2.49%,,37.10512125,106.352941
"Jun 28, 2013",101.74,101.74,92.33,94.65,-6.93%,,30.51164512,104.9761244
"Jun 29, 2013",94.66,99.99,93,94.99,0.36%,,31.17119048,103.8012863
"Jun 30, 2013",95,98.12,94.22,96.61,1.69%,,34.36766518,102.9552526
"Jul 01, 2013",97.51,97.66,86.3,88.05,-9.28%,,27.18384657,101.2016935
"Jul 02, 2013",88.05,92.3,87.51,90.13,2.33%,,30.96025338,99.89914129
"Jul 03, 2013",90.41,90.98,76.98,77.53,-15.06%,,23.13346462,97.26747761
"Jul 04, 2013",78.89,83.11,72,80.53,3.80%,,27.8127041,95.29836259
"Jul 05, 2013",79.99,80,65.53,68.43,-16.28%,,21.99649248,92.13737876
"Jul 06, 2013",68.5,75,66.82,70.28,2.67%,,24.59294281,89.56592243
"Jul 07, 2013",68.75,74.56,66.62,74.56,5.91%,,30.36769537,87.80051979
"Jul 08, 2013",76.5,80,72.6,76.52,2.59%,,32.90182643,86.47339982
"Jul 09, 2013",76,78.3,72.52,76.69,0.22%,,33.12914385,85.3224116
"Jul 10, 2013",76.72,87,76.2,86.76,12.34%,,45.01277259,85.49153965
"Jul 11, 2013",88,90.28,85.08,88.98,2.53%,,47.23882231,85.90194675
"Jul 12, 2013",88.98,104,88.17,93.59,5.05%,,51.61889627,86.8064236
"Jul 13, 2013",93.99,98.25,88.06,98.13,4.74%,,55.53392846,88.13860906
