"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1512",2016-11-30,112.199997,116.699997,111.5,115.099998,9327100,-0.606329269,"buy",32.94911981,131.2017732,2198.810059
"1513",2016-12-01,115,128.600006,114.199997,124.300003,14592100,7.68967243,"hold",39.54231925,130.3898002,2191.080078
"1514",2016-12-02,125.599998,127,117.599998,124.5,11684200,0.160769325,"sell",39.68117527,129.6968826,2191.949951
"1515",2016-12-05,115.800003,116.900002,107.5,108.300003,12192700,-13.94005342,"sell",33.05800403,127.1796026,2204.709961
"1516",2016-12-06,104,105.5,99.699997,100.699997,9247000,-7.275941177,"hold",30.48712516,124.0643549,2212.22998
"1517",2016-12-07,99.800003,102.199997,95.800003,101.199997,14060700,0.495295728,"hold",30.86803713,121.3744304,2241.350098
"1518",2016-12-08,101.400002,108.300003,100.199997,101.5,15033800,0.296007127,"sell",31.11195494,119.0362622,2246.189941
"1519",2016-12-09,103.5,103.599998,98.699997,99.599998,10341800,-1.889665397,"buy",30.38085334,116.7496428,2259.530029
"1520",2016-12-12,99.599998,102.900002,99,101.199997,7907900,1.59365827,"buy",31.83353858,114.9202727,2256.959961
"1521",2016-12-13,100.199997,106,99.599998,102.800003,9996500,1.568665499,"hold",33.33166688,113.4943587,2271.719971
"1522",2016-12-14,103.699997,104.5,96,102,17941700,-0.781256892,"sell",32.941832,112.1420812,2253.280029
"1523",2016-12-15,98.900002,101.699997,97.300003,99.199997,9248200,-2.783482924,"sell",31.55095804,110.619483,2262.030029
"1524",2016-12-16,96.400002,99.300003,95.199997,96.599998,8153000,-2.655926353,"sell",30.27277901,108.9701318,2258.070068
"1525",2016-12-19,94.300003,94.5,89.599998,89.900002,8720900,-7.188075679,"sell",27.21330689,106.7265872,2262.530029
"1526",2016-12-20,88.099998,88.5,85.5,86.5,7679600,-3.855354979,"sell",25.78895509,104.3469887,2270.76001
"1527",2016-12-21,85.400002,85.800003,83.199997,83.699997,6918100,-3.290547228,"buy",24.64495014,101.9179308,2265.179932
"1528",2016-12-22,83.5,87,82.699997,86.5,8198700,3.290547228,"hold",28.08072079,100.1040566,2260.959961
"1529",2016-12-23,86.900002,88,85.099998,85.5,5236800,-1.1628038,"sell",27.59677543,98.3859323,2263.790039
"1530",2016-12-27,85,85.400002,82.300003,83,4778100,-2.967576815,"buy",26.37307923,96.57582262,2268.879883
"1531",2016-12-28,82.199997,89,81.800003,88.800003,12125200,6.754607599,"buy",33.71642666,95.66102031,2249.919922
"1532",2016-12-29,89.199997,93.800003,87.599998,91.5,10652400,2.99522885,"buy",36.872837,95.17148851,2249.26001
"1533",2016-12-30,89.300003,97,89.199997,95.199997,13327100,3.9640938,"sell",41.01789477,95.17484245,2238.830078
"1534",2017-01-03,87.099998,88.599998,81.400002,81.699997,11608200,-15.29259451,"sell",32.60545973,93.58956652,2257.830078
"1535",2017-01-04,79.800003,80,71.5,73.199997,10805800,-10.98585852,"hold",28.62475492,91.19079363,2270.75
"1536",2017-01-05,74.599998,77.199997,72.5,72.699997,9442500,-0.685403671,"sell",28.40506948,89.01540579,2269
