Name,Country,lat,lng,Average_Score,Num_of_Reviews,total_stay_duration,business_trips,couples_stay,pet_stay,family_with_older_stays,family_with_younger_stays,solo_stays,group_stays,resident_stays,positive_minus_negative_word_count,Complains_Breakfast,Complains_Price,Positives_Clean,Positives_Location,Avg_Stay_Duration,Businesses_100m,Businesses_1km,Businesses_5km
Ambassade Hotel, Netherland ,52.369391,4.8871721,9.3,551,1471,0.123411978221416,0.540834845735027,0.00181488203266788,0.0834845735027223,0.088929219600726,0.186932849364791,0.0980036297640653,0,7062,0.0598911070780399,0.0254083484573503,0.0725952813067151,0.442831215970962,2.66969147005445,43,3600,9400
Ambassadors Bloomsbury, United Kingdom ,51.5266618,-0.1296571,7.9,768,1257,0.276041666666667,0.4375,0,0.02734375,0.0572916666666667,0.36328125,0.110677083333333,0.723958333333333,-4165,0.100260416666667,0.0494791666666667,0.200520833333333,0.44140625,1.63671875,21,3400,20700
Amp re, France ,48.8848583,2.2997023,8.8,172,431,0.197674418604651,0.465116279069767,0.0116279069767442,0.0465116279069767,0.116279069767442,0.226744186046512,0.122093023255814,0.0406976744186047,912,0.0813953488372093,0.0232558139534884,0.209302325581395,0.308139534883721,2.50581395348837,18,1500,20500
Amsterdam Canal Residence, Netherland ,52.3594783,4.895853,8.3,67,210,0.0895522388059701,0.567164179104478,0,0.0895522388059701,0.0597014925373134,0.0895522388059701,0.194029850746269,0,26,0.104477611940299,0.0149253731343284,0.119402985074627,0.298507462686567,3.13432835820896,6,3000,9600
Amsterdam Marriott Hotel, Netherland ,52.362514,4.8800077,8.1,389,1026,0.10025706940874,0.259640102827764,0,0.105398457583548,0.264781491002571,0.125964010282776,0.22879177377892,0,-3309,0.123393316195373,0.051413881748072,0.10025706940874,0.467866323907455,2.63753213367609,12,2200,9200
Andaz Amsterdam Prinsengracht A Hyatt Hotel, Netherland ,52.3678368,4.8830788,9.3,214,581,0.116822429906542,0.514018691588785,0.00467289719626168,0.0747663551401869,0.130841121495327,0.144859813084112,0.126168224299065,0,436,0.0560747663551402,0.0467289719626168,0.0280373831775701,0.350467289719626,2.71495327102804,39,2900,9300
Andaz London Liverpool Street, United Kingdom ,51.5172825,-0.0812451,9,519,894,0.152215799614644,0.606936416184971,0,0.0269749518304432,0.0500963391136802,0.20616570327553,0.109826589595376,0.678227360308285,1237,0.0789980732177264,0.0366088631984586,0.0770712909441233,0.30635838150289,1.72254335260116,34,2500,14500
Andreola Central Hotel, Italy ,45.4836517,9.2078581,8.3,200,369,0.125,0.495,0.005,0.05,0.105,0.2,0.14,0.025,980,0.095,0.02,0.18,0.395,1.845,18,1300,10100
Antares Hotel Accademia, Italy ,45.4921089,9.1476806,8.4,30,74,0.233333333333333,0.366666666666667,0,0.0666666666666667,0.166666666666667,0.2,0.2,0.1,0,0.166666666666667,0.0333333333333333,0.1,0.2,2.46666666666667,5,192,7000
Antares Hotel Rubens, Italy ,45.4670579,9.1427822,8.5,113,222,0.141592920353982,0.442477876106195,0.0353982300884956,0.0530973451327434,0.212389380530973,0.20353982300885,0.079646017699115,0.0530973451327434,1104,0.0973451327433628,0.00884955752212389,0.15929203539823,0.185840707964602,1.9646017699115,4,357,6200
Antica Locanda Dei Mercanti, Italy ,45.467298,9.1846982,9,82,180,0.146341463414634,0.634146341463415,0.024390243902439,0.0121951219512195,0.158536585365854,0.146341463414634,0.0487804878048781,0.024390243902439,1090,0.109756097560976,0.0487804878048781,0.0731707317073171,0.463414634146341,2.19512195121951,26,2000,10800
Aparthotel Adagio Vienna City, Austria ,48.2110845,16.3838405,8.1,312,1360,0.150641025641026,0.503205128205128,0.00320512820512821,0.0512820512820513,0.173076923076923,0.144230769230769,0.125,0,-1051,0.0769230769230769,0.0416666666666667,0.150641025641026,0.528846153846154,4.35897435897436,11,1300,9600
Aparthotel Arai 4 Superior, Spain ,41.3807517,2.1772425,9.3,205,645,0.00975609756097561,0.482926829268293,0,0.121951219512195,0.258536585365854,0.0292682926829268,0.107317073170732,0.0146341463414634,2241,0.0048780487804878,0.00975609756097561,0.0926829268292683,0.575609756097561,3.14634146341463,102,3400,13600
Aparthotel Atenea Barcelona, Spain ,41.3862689,2.1291786,8,178,538,0.140449438202247,0.235955056179775,0,0.101123595505618,0.325842696629214,0.185393258426966,0.146067415730337,0.0393258426966292,569,0.0561797752808989,0.0224719101123595,0.168539325842697,0.426966292134831,3.02247191011236,10,697,10100
Aparthotel Mariano Cubi Barcelona, Spain ,41.3982129,2.1494179,8.3,91,252,0.0879120879120879,0.340659340659341,0,0.0769230769230769,0.351648351648352,0.10989010989011,0.120879120879121,0.043956043956044,-587,0.131868131868132,0.032967032967033,0.197802197802198,0.197802197802198,2.76923076923077,17,2400,13600
Apex City Of London Hotel, United Kingdom ,51.5104624,-0.0795502,9,1049,2069,0.0953288846520496,0.565300285986654,0.000953288846520496,0.0686367969494757,0.124880838894185,0.111534795042898,0.125834127740705,0.6930409914204,6849,0.110581506196378,0.0514775977121068,0.175405147759771,0.344137273593899,1.97235462345091,34,2300,13800
Apex London Wall Hotel, United Kingdom ,51.5160484,-0.0880181,9.1,437,744,0.121281464530892,0.647597254004577,0,0.0320366132723112,0.045766590389016,0.148741418764302,0.123569794050343,0.759725400457666,4093,0.080091533180778,0.0274599542334096,0.162471395881007,0.240274599542334,1.7025171624714,42,2300,16600
Apex Temple Court Hotel, United Kingdom ,51.5137335,-0.1087512,9.2,1037,2161,0.116682738669238,0.693346190935391,0,0.0318225650916104,0.0482160077145612,0.135969141755063,0.0867888138862102,0.681774349083896,7986,0.0983606557377049,0.0636451301832208,0.180327868852459,0.371263259402122,2.08389585342334,29,1700,21700
